matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg,chunksMax,partialSlices
M3,"aquifers upstream facilities [ME]",aquifers,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,17251,1919,0,ok,"",0,0
M3,"aquifers upstream waterBodies [ME]",aquifers,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,129101,5101,0,ok-partial,"",16,3
M3,"aquifers upstream wells [ME]",aquifers,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,121522,26679,0,ok-partial,"",16,11
M3,"aquifers upstream aquifers [ME]",aquifers,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,128409,4290,0,ok-partial,"",16,3
M6,"samples downstream facilities [17]",samples,downstream,,facilities,17,"none",FIND_TARGET_IRIS,engine,error,124001,0,0,failed,"SPARQL timeout (429): Operation timed out. Last operation: Join on ?s2anchor",4,0
M6,"samples downstream facilities [18]",samples,downstream,,facilities,18,"none",FIND_TARGET_IRIS,engine,success,19942,234,0,ok,"",0,0
M6,"samples downstream facilities [25]",samples,downstream,,facilities,25,"none",FIND_TARGET_IRIS,engine,success,134271,115,0,ok-partial,"",14,8
M6,"samples downstream facilities [33]",samples,downstream,,facilities,33,"none",FIND_TARGET_IRIS,engine,success,74450,43,0,ok,"",3,0
M6,"samples downstream facilities [01]",samples,downstream,,facilities,01,"none",FIND_TARGET_IRIS,engine,empty,95736,0,0,empty,"No results at step: Finding downstream samples",3,0
M6,"samples downstream facilities [50]",samples,downstream,,facilities,50,"none",FIND_TARGET_IRIS,engine,success,5012,17,0,ok,"",0,0
M7,"samples near facilities [NO REGION]",samples,near,1,facilities,none,"none",FIND_TARGET_IRIS,engine,success,1166,4770,0,ok,"",0,0
M7,"samples downstream facilities [NO REGION]",samples,downstream,,facilities,none,"none",FIND_TARGET_IRIS,engine,error,28640,0,0,failed,"SPARQL out-of-memory (500): Tried to allocate 2.6 GB, but only 1.3 GB were available",0,0
M7,"wells near facilities [NO REGION]",wells,near,1,facilities,none,"none",FIND_TARGET_IRIS,engine,success,21728,219026,0,ok,"",0,0
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",PIPELINE,engine,success,33375,31,0,ok,"",0,0
M5,"PREBUILT: Samples Near Landfills & DOD Sites in Penobscot and Knox County",samples,near,1,facilities,23019|23013,"prebuilt",PIPELINE,engine,success,10618,61,0,ok,"",0,0
M5,"PREBUILT: Surface Water Bodies Near Landfills & DOD Sites in Penobscot and Knox County",waterBodies,near,1,facilities,23019|23013,"prebuilt",PIPELINE,engine,success,24072,103,0,ok,"",0,0
M5,"PREBUILT: Samples Downstream of Waste Treatment Facilities in Indiana",samples,downstream,,facilities,18,"prebuilt",PIPELINE,engine,success,70778,15696,0,ok,"",0,0
M5,"PREBUILT: Maine Private Wells Near Landfills & DoD Sites",wells,near,1,facilities,23,"prebuilt",PIPELINE,engine,success,22779,751,0,ok,"",0,0
M5,"PREBUILT: Maine Private Wells Near Wastewater Treatment Facilities",wells,near,1,facilities,23,"prebuilt",PIPELINE,engine,success,13742,2431,0,ok,"",0,0
M5,"PREBUILT: Maine Private Wells Near Airports & Air Transportation Sites (AFFF)",wells,near,1,facilities,23,"prebuilt",PIPELINE,engine,success,13122,4425,0,ok,"",0,0
M5,"PREBUILT: PFHpA Groundwater Samples Downstream from Facilities in Cumberland County",samples,downstream,,facilities,23005,"prebuilt",PIPELINE,engine,empty,2435,0,0,empty,"No results at step: Finding downstream samples",0,0
