matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
M3,"samples upstream facilities [ME]",samples,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,13697,2739,265733,ok,""
M3,"samples upstream waterBodies [ME]",samples,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,13481,6072,473293,ok,""
M3,"samples upstream wells [ME]",samples,upstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,200,24314,47730,4550182,ok,""
M3,"samples upstream aquifers [ME]",samples,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,12610,4650,455750,ok,""
M3,"facilities upstream samples [ME]",facilities,upstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,24333,3195,318366,ok,""
M3,"facilities upstream facilities [ME]",facilities,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,429,31640,0,115383,timeout-30s,"Operation timed out. Last operation: Join on ?ds_flowline"
M3,"facilities upstream waterBodies [ME]",facilities,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,500,23294,0,111777,engine-oom,"Tried to allocate 1.6 GB, but only 1 GB were available"
M3,"facilities upstream wells [ME]",facilities,upstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,32067,0,117040,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?ds_flowline"
M3,"facilities upstream aquifers [ME]",facilities,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,500,27780,0,111636,engine-oom,"Tried to allocate 1.6 GB, but only 1.1 GB were available"
M3,"waterBodies upstream samples [ME]",waterBodies,upstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,8891,3064,305306,ok,""
M3,"waterBodies upstream facilities [ME]",waterBodies,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,13035,2770,268740,ok,""
M3,"waterBodies upstream waterBodies [ME]",waterBodies,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,20120,6504,506964,ok,""
M3,"waterBodies upstream wells [ME]",waterBodies,upstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,200,28050,51437,4903673,ok,""
M3,"waterBodies upstream aquifers [ME]",waterBodies,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,200,15534,4764,466922,ok,""
M3,"wells upstream samples [ME]",wells,upstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,429,36053,0,107578,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?iri"
M3,"wells upstream facilities [ME]",wells,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,429,31332,0,116117,timeout-30s,"Operation timed out. Last operation: Join on ?s2anchor"
M3,"wells upstream waterBodies [ME]",wells,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,500,29900,0,107648,engine-oom,"Tried to allocate 1.6 GB, but only 1.3 GB were available"
M3,"wells upstream wells [ME]",wells,upstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,31254,0,110507,timeout-30s,"Operation timed out. Last operation: Join on ?s2anchor"
M3,"wells upstream aquifers [ME]",wells,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,500,28364,0,107524,engine-oom,"Tried to allocate 1.6 GB, but only 1.2 GB were available"
M3,"aquifers upstream samples [ME]",aquifers,upstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,23243,2935,292622,ok,""
M3,"aquifers upstream facilities [ME]",aquifers,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,17060,1919,186193,ok,""
M3,"aquifers upstream waterBodies [ME]",aquifers,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,500,17979,0,114014,engine-oom,"Tried to allocate 1.6 GB, but only 1.6 GB were available"
M3,"aquifers upstream wells [ME]",aquifers,upstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,32412,0,118747,timeout-30s,"Operation timed out. Last operation: BIND (?wellC AS ?iri)"
